Dataset_ID,Rule_Variant,Accuracy,F1_Score,ROC_AUC,Avg_Precision,Training_Time,Min_Loss
1,3,1.0,1.0,1.0,1.0,58.98018217086792,inf
1,5,1.0,1.0,1.0,1.0,91.21360087394714,inf
2,3,0.912280701754386,0.927536231884058,0.9907407407407408,0.9948399730262476,196.34699010849,inf
2,5,0.9649122807017544,0.9722222222222222,0.984126984126984,0.98928810983144,259.3436207771301,inf
3,3,0.96,0.9615384615384616,0.9744,0.9738647342995168,6.508275985717773,inf
3,5,0.96,0.9615384615384616,0.92,0.8443149919323834,9.22944402694702,inf
4,3,0.8582677165354331,0.8783783783783784,1.0,1.0,15.57363510131836,inf
4,5,1.0,1.0,1.0,1.0000000000000002,22.722235918045044,inf
5,3,0.98,0.979591836734694,0.9671474358974358,0.9352083333333332,5.74524998664856,inf
5,5,0.98,0.979591836734694,0.971153846153846,0.9548148148148148,6.907504796981812,inf
6,3,0.8569230769230769,0.8741542625169147,0.9388076371303956,0.9502325264734844,234.50522184371948,inf
6,5,0.8246153846153846,0.8507853403141361,0.9093981378958416,0.9186611008209082,296.0253827571869,inf
